efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G07111;2014-11-11;2014-11;;2.1;;2500.00;
G07111;2014-11-11;2014-11;;2.1;;3880.00;
G07111;2014-11-11;2014-11;;2.1;;2000.00;
G07111;2014-11-11;2014-11;;2.1;;3880.00;
G07111;2014-11-11;2014-11;;2.1;;3000.00;
G07111;2014-11-13;2014-11;;2.1;;1000.00;
G07111;2014-11-13;2014-11;;2.1;;2000.00;
G07111;2014-11-13;2014-11;;2.1;;2000.00;
G07111;2014-11-13;2014-11;;2.1;;2000.00;
G07111;2014-11-13;2014-11;;2.1;;1800.00;
G07111;2014-11-14;2014-11;;2.1;;2000.00;
G07111;2014-11-17;2014-11;;2.1;;2000.00;
G07111;2014-11-17;2014-11;;2.1;;2000.00;
G07111;2014-11-17;2014-11;;2.1;;2000.00;
G07111;2014-11-20;2014-11;;2.1;;2000.00;
G07111;2014-11-20;2014-11;;2.1;;2000.00;
G07111;2014-11-21;2014-11;;2.1;;2800.00;
G07111;2014-11-21;2014-11;;2.1;;5432.00;
G07111;2014-11-21;2014-11;;2.1;;6790.00;
G07111;2014-11-21;2014-11;;2.1;;5480.00;
G07111;2014-11-26;2014-11;;2.1;;5548.00;
G07111;2014-11-26;2014-11;;2.1;;5432.00;
G07111;2014-11-26;2014-11;;2.1;;4074.00;
G07111;2014-11-26;2014-11;;2.1;;2800.00;
G07111;2014-11-26;2014-11;;2.1;;2800.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1400.00;
G07111;2014-11-04;2014-11;;2.3;;1900.00;
G07111;2014-11-04;2014-11;;2.3;;2000.00;
G07111;2014-11-04;2014-11;;2.3;;1400.00;
G07111;2014-11-04;2014-11;;2.3;;1400.00;
G07111;2014-11-04;2014-11;;2.3;;1600.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1400.00;
G07111;2014-11-04;2014-11;;2.3;;1400.00;
G07111;2014-11-04;2014-11;;2.3;;2000.00;
G07111;2014-11-04;2014-11;;2.3;;1600.00;
G07111;2014-11-04;2014-11;;2.3;;1500.00;
G07111;2014-11-04;2014-11;;2.3;;1600.00;
